epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.339,0.9614,5.31244,1.39091,0.00522,0.30612,0.00465,0.00399,0.66555,4.34771,1.21087,1.62898e-05,1.62898e-05,1.62898e-05
2,384.482,0.81777,5.04024,1.27959,0.00535,0.55407,0.00802,0.00675,0.6397,4.07573,1.17241,3.19772e-05,3.19772e-05,3.19772e-05
3,615.11,0.81691,4.78569,1.27635,0.00575,0.77981,0.01373,0.0114,0.62883,3.80763,1.1535,4.70178e-05,4.70178e-05,4.70178e-05
4,834.31,0.83036,4.56581,1.28633,0.18343,0.06702,0.02213,0.01831,0.63698,3.60276,1.15431,4.60894e-05,4.60894e-05,4.60894e-05
5,1064.38,0.8142,4.37173,1.26405,0.14658,0.08757,0.03682,0.03027,0.61781,3.4322,1.14239,4.51192e-05,4.51192e-05,4.51192e-05
6,1276.78,0.8105,4.20396,1.25483,0.26066,0.09228,0.05253,0.04331,0.62009,3.27778,1.12788,4.4149e-05,4.4149e-05,4.4149e-05
7,1488.69,0.80088,4.03588,1.23818,0.22403,0.14376,0.06936,0.0581,0.60698,3.15883,1.12293,4.31788e-05,4.31788e-05,4.31788e-05
8,1694.62,0.80482,3.91661,1.23347,0.21975,0.15976,0.09071,0.07584,0.59274,3.03678,1.10841,4.22086e-05,4.22086e-05,4.22086e-05
9,1911.28,0.79741,3.79085,1.22747,0.23697,0.19439,0.1089,0.09188,0.58849,2.93426,1.10459,4.12384e-05,4.12384e-05,4.12384e-05
10,2118.84,0.79322,3.69038,1.22216,0.1868,0.21724,0.1266,0.10595,0.5897,2.83873,1.10285,4.02682e-05,4.02682e-05,4.02682e-05
11,2332.82,0.77235,3.60715,1.20984,0.1841,0.25232,0.14774,0.12481,0.58594,2.76273,1.10252,3.9298e-05,3.9298e-05,3.9298e-05
12,2539,0.76561,3.51683,1.19784,0.19038,0.25384,0.16597,0.14032,0.57549,2.68907,1.08895,3.83278e-05,3.83278e-05,3.83278e-05
13,2764.8,0.76941,3.43735,1.20244,0.20723,0.28359,0.18518,0.15623,0.58442,2.63151,1.09584,3.73576e-05,3.73576e-05,3.73576e-05
14,2980.12,0.76013,3.36239,1.19202,0.22694,0.28851,0.20371,0.17238,0.57366,2.57588,1.09076,3.63874e-05,3.63874e-05,3.63874e-05
