epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.337,0.58579,1.2838,1.12918,0.7127,0.70305,0.76807,0.67889,0.48675,0.93782,1.03052,0.00333009,0.00333009,0.00333009
2,622.047,0.60765,1.3498,1.13801,0.67431,0.67206,0.73044,0.63243,0.52926,1.02619,1.06988,0.00653149,0.00653149,0.00653149
3,927.577,0.65218,1.50631,1.16773,0.59175,0.61791,0.65748,0.54939,0.60189,1.25944,1.15033,0.00960088,0.00960088,0.00960088
4,1232.04,0.7027,1.70814,1.20355,0.5439,0.56554,0.58625,0.48605,0.62291,1.47453,1.16717,0.009406,0.009406,0.009406
5,1536.65,0.70776,1.70094,1.20859,0.60916,0.63213,0.66447,0.55945,0.59622,1.24655,1.1469,0.009208,0.009208,0.009208
6,1841.23,0.70406,1.70003,1.2059,0.58206,0.60954,0.64142,0.53072,0.6171,1.31628,1.16365,0.00901,0.00901,0.00901
7,2145.43,0.69755,1.68234,1.1987,0.60669,0.6305,0.67406,0.56352,0.59465,1.23039,1.15066,0.008812,0.008812,0.008812
8,2450.38,0.69188,1.64816,1.19746,0.62872,0.62796,0.68021,0.57205,0.58187,1.20727,1.13352,0.008614,0.008614,0.008614
9,2755.08,0.69113,1.62413,1.19756,0.58102,0.62933,0.66254,0.55703,0.60286,1.24871,1.14772,0.008416,0.008416,0.008416
10,3059.42,0.68821,1.61493,1.19567,0.62656,0.66123,0.69968,0.59321,0.57507,1.13598,1.12325,0.008218,0.008218,0.008218
11,3363.95,0.67913,1.59233,1.18832,0.64337,0.63535,0.69931,0.59106,0.57613,1.13109,1.12303,0.00802,0.00802,0.00802
12,3670.19,0.67114,1.55807,1.18405,0.68239,0.63933,0.71517,0.60667,0.56718,1.07935,1.11556,0.007822,0.007822,0.007822
13,3976.67,0.66718,1.5552,1.18202,0.6541,0.67575,0.72521,0.61965,0.5534,1.06341,1.0999,0.007624,0.007624,0.007624
14,4282.75,0.66655,1.54033,1.18169,0.66323,0.68541,0.72871,0.62642,0.54421,1.05923,1.09382,0.007426,0.007426,0.007426
15,4587.42,0.66175,1.50988,1.17582,0.64599,0.6819,0.72001,0.61812,0.54898,1.07976,1.09928,0.007228,0.007228,0.007228
16,4892.01,0.66276,1.50461,1.17751,0.67501,0.69679,0.7428,0.63907,0.54927,1.00728,1.08936,0.00703,0.00703,0.00703
17,5196.38,0.65352,1.47319,1.16993,0.68916,0.70108,0.75149,0.64769,0.53981,0.97785,1.08897,0.006832,0.006832,0.006832
18,5501.51,0.64896,1.46331,1.17062,0.70457,0.70307,0.75703,0.65478,0.53783,0.96634,1.08698,0.006634,0.006634,0.006634
19,5806.51,0.64838,1.45222,1.17038,0.67955,0.72481,0.76208,0.6563,0.53696,0.95042,1.08354,0.006436,0.006436,0.006436
20,6111.45,0.64515,1.43744,1.16744,0.69935,0.7042,0.76083,0.66154,0.5208,0.95708,1.06923,0.006238,0.006238,0.006238
21,6415.89,0.63855,1.4173,1.16007,0.69531,0.72015,0.7636,0.66056,0.52355,0.93815,1.07412,0.00604,0.00604,0.00604
22,6720.87,0.63383,1.40537,1.15916,0.71216,0.71491,0.76803,0.66626,0.51881,0.92315,1.06819,0.005842,0.005842,0.005842
23,7026.25,0.63521,1.3971,1.1618,0.71982,0.7148,0.77081,0.67181,0.51296,0.91991,1.05942,0.005644,0.005644,0.005644
24,7330.73,0.62973,1.38129,1.15608,0.70836,0.74084,0.78482,0.68648,0.50044,0.87874,1.04964,0.005446,0.005446,0.005446
25,7637.29,0.62621,1.35901,1.15334,0.72502,0.71599,0.77781,0.67983,0.50354,0.89269,1.05041,0.005248,0.005248,0.005248
26,7944.2,0.62244,1.34815,1.14988,0.72979,0.72509,0.78381,0.6858,0.49784,0.87389,1.04749,0.00505,0.00505,0.00505
27,8249.87,0.61562,1.3236,1.14658,0.72293,0.74676,0.79614,0.70071,0.4873,0.8479,1.03629,0.004852,0.004852,0.004852
28,8554.12,0.61618,1.31467,1.15019,0.74508,0.73672,0.79445,0.69703,0.49295,0.84588,1.03921,0.004654,0.004654,0.004654
29,8859.15,0.61036,1.2913,1.14171,0.75319,0.73462,0.79865,0.70186,0.49122,0.83284,1.03968,0.004456,0.004456,0.004456
