epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,9164.19,0.60654,1.27923,1.1383,0.75904,0.7408,0.80235,0.70425,0.49369,0.82728,1.03954,0.004258,0.004258,0.004258
31,9469,0.60244,1.26691,1.13968,0.73983,0.75423,0.80329,0.70542,0.49,0.8267,1.03575,0.00406,0.00406,0.00406
32,9773.38,0.60055,1.25525,1.13542,0.7609,0.73899,0.80917,0.71266,0.48576,0.8067,1.03332,0.003862,0.003862,0.003862
33,10078.5,0.58979,1.23412,1.13076,0.75816,0.74964,0.80927,0.71249,0.484,0.80618,1.03269,0.003664,0.003664,0.003664
34,10383.3,0.59643,1.22968,1.13342,0.76432,0.74446,0.8096,0.71739,0.47553,0.80171,1.02398,0.003466,0.003466,0.003466
35,10688.2,0.58994,1.20089,1.12823,0.75681,0.75297,0.81314,0.72009,0.47492,0.79781,1.02339,0.003268,0.003268,0.003268
36,11220.9,0.58666,1.18857,1.12596,0.76221,0.7533,0.8129,0.71897,0.47633,0.79492,1.02496,0.00307,0.00307,0.00307
37,11759.8,0.58646,1.18085,1.12827,0.76692,0.75081,0.81315,0.71964,0.47366,0.79309,1.02285,0.002872,0.002872,0.002872
38,12299.1,0.57681,1.16151,1.12154,0.75632,0.75688,0.81418,0.72188,0.47281,0.78993,1.02201,0.002674,0.002674,0.002674
39,12603.6,0.57479,1.16159,1.12042,0.76566,0.75493,0.81468,0.7212,0.47318,0.78507,1.02281,0.002476,0.002476,0.002476
40,12905.7,0.57228,1.13592,1.11843,0.77248,0.74874,0.81641,0.72407,0.4699,0.78454,1.01788,0.002278,0.002278,0.002278
41,13188.1,0.4152,0.63214,1.03882,0.7561,0.76015,0.81242,0.7208,0.46434,0.79154,1.01416,0.00208,0.00208,0.00208
42,13470.1,0.40533,0.58854,1.02918,0.76052,0.75321,0.81287,0.72373,0.46189,0.78745,1.01332,0.001882,0.001882,0.001882
43,13752.2,0.39863,0.56431,1.02376,0.76067,0.75585,0.81328,0.72477,0.45886,0.78522,1.01091,0.001684,0.001684,0.001684
44,14034.3,0.39107,0.54538,1.01769,0.76867,0.74945,0.81274,0.7259,0.45733,0.78474,1.01004,0.001486,0.001486,0.001486
45,14316,0.38386,0.52721,1.01094,0.76842,0.75364,0.81334,0.72521,0.45695,0.78662,1.00905,0.001288,0.001288,0.001288
46,14597.5,0.38025,0.5033,1.00784,0.76829,0.75128,0.81306,0.72757,0.45561,0.78433,1.00834,0.00109,0.00109,0.00109
47,14879.2,0.37467,0.49652,1.0051,0.76966,0.74823,0.81223,0.72674,0.45512,0.78592,1.00748,0.000892,0.000892,0.000892
48,15162.5,0.36703,0.47149,0.99684,0.76694,0.74957,0.81132,0.72536,0.4549,0.79072,1.00722,0.000694,0.000694,0.000694
49,15445.5,0.36278,0.46165,0.99379,0.76386,0.74931,0.81018,0.72449,0.4543,0.79388,1.00662,0.000496,0.000496,0.000496
50,15728,0.36082,0.45552,0.99469,0.76066,0.75264,0.80967,0.72429,0.45377,0.79614,1.00618,0.000298,0.000298,0.000298
