epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.016,0.9614,5.31244,1.39091,0.00522,0.30612,0.00465,0.00399,0.66555,4.34771,1.21087,1.62898e-05,1.62898e-05,1.62898e-05
2,378.092,0.81723,5.03995,1.28016,0.00545,0.54822,0.00776,0.00652,0.63446,4.07806,1.16967,3.23001e-05,3.23001e-05,3.23001e-05
3,589.629,0.81638,4.78196,1.27705,0.00566,0.79632,0.01442,0.01202,0.62937,3.78888,1.15959,4.79871e-05,4.79871e-05,4.79871e-05
4,814.356,0.83301,4.55835,1.28602,0.22941,0.06031,0.02321,0.01906,0.64153,3.60902,1.15574,4.75447e-05,4.75447e-05,4.75447e-05
5,1025.83,0.81519,4.35605,1.26334,0.13237,0.08881,0.03783,0.03124,0.61733,3.42361,1.13781,4.70596e-05,4.70596e-05,4.70596e-05
6,1827.45,0.81283,4.19242,1.25686,0.22362,0.10201,0.05452,0.04505,0.6182,3.27086,1.12911,4.65745e-05,4.65745e-05,4.65745e-05
7,2285.94,0.8028,4.01806,1.24025,0.1806,0.14881,0.07099,0.05907,0.61045,3.14631,1.12417,4.60894e-05,4.60894e-05,4.60894e-05
8,2743.01,0.80433,3.89195,1.2314,0.18924,0.16873,0.09354,0.07862,0.5882,3.01642,1.10715,4.56043e-05,4.56043e-05,4.56043e-05
9,3171.19,0.79891,3.76634,1.22688,0.19896,0.20378,0.11425,0.09684,0.58761,2.9149,1.10657,4.51192e-05,4.51192e-05,4.51192e-05
10,3374.42,0.79471,3.6582,1.22262,0.18462,0.22181,0.13211,0.11021,0.58973,2.81577,1.10564,4.46341e-05,4.46341e-05,4.46341e-05
11,3588.72,0.77236,3.56747,1.20848,0.21145,0.26177,0.156,0.13126,0.58894,2.73104,1.10371,4.4149e-05,4.4149e-05,4.4149e-05
12,3796.93,0.76663,3.46999,1.19719,0.20881,0.25888,0.181,0.15317,0.57833,2.64724,1.09077,4.36639e-05,4.36639e-05,4.36639e-05
13,4001.75,0.76923,3.38626,1.19977,0.23179,0.28786,0.19867,0.16795,0.58131,2.5888,1.09232,4.31788e-05,4.31788e-05,4.31788e-05
14,4208,0.76218,3.30239,1.19151,0.22326,0.3067,0.21915,0.18586,0.57369,2.52353,1.09117,4.26937e-05,4.26937e-05,4.26937e-05
15,4417.26,0.76545,3.23037,1.19723,0.25009,0.3325,0.24022,0.20352,0.56418,2.448,1.07902,4.22086e-05,4.22086e-05,4.22086e-05
